ID;Expedition;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Delay_or_OnTime_Y.N;Province_Code;
1;Ninja Express;Flight;4;2;2542428;3;low;F;632016;1233;1;29;
2;JNE;Flight;4;5;3102624;2;low;M;847476;3088;1;11;
3;SiCepat;Flight;2;2;2628612;4;low;M;689472;3374;1;22;
4;TIKI;Flight;3;3;2528064;4;medium;M;143640;1177;1;33;
5;J&T;Flight;2;2;2642976;3;medium;F;660744;2484;1;33;
6;JNE;Flight;3;1;2326968;3;medium;F;172368;1417;1;19;
7;Ninja Express;Flight;3;4;3591000;3;low;F;43092;2371;1;27;
8;JNE;Flight;4;1;3346812;2;low;F;689472;2804;1;9;
9;SiCepat;Flight;3;4;2154600;3;low;F;158004;1861;1;3;
10;TIKI;Flight;3;2;2355696;3;medium;F;416556;1187;1;25;
11;J&T;Flight;3;4;2714796;2;medium;M;172368;2888;1;6;
12;JNE;Flight;4;5;3332448;3;medium;F;459648;3253;1;12;
13;Ninja Express;Flight;3;5;2844072;3;medium;F;14364;3667;1;5;
14;JNE;Flight;4;4;3950100;3;high;M;416556;2602;1;27;
15;SiCepat;Flight;4;3;2183328;3;low;M;617652;1009;1;21;
16;TIKI;Flight;4;3;3260628;3;low;F;646380;2707;1;21;
17;J&T;Flight;3;4;2054052;2;medium;F;86184;1194;1;34;
18;JNE;Ship;5;5;3260628;3;medium;M;517104;3952;1;2;
19;Ninja Express;Ship;5;5;3432996;3;high;M;258552;2495;1;15;
20;JNE;Ship;4;5;2082780;3;medium;M;646380;1059;1;7;
21;SiCepat;Ship;3;3;2312604;2;medium;F;545832;1521;1;5;
22;TIKI;Ship;3;1;3332448;4;medium;F;732564;2899;1;34;
23;J&T;Ship;2;5;2240784;2;low;M;28728;1750;1;7;
24;JNE;Ship;4;3;3030804;3;high;M;172368;3922;1;13;
25;Ninja Express;Ship;4;5;3605364;2;medium;F;402192;3561;1;14;
26;JNE;Ship;3;1;3231900;4;low;M;416556;3496;1;8;
27;SiCepat;Ship;4;1;2470608;3;high;F;344736;1066;1;29;
28;TIKI;Ship;5;1;2326968;3;medium;M;445284;1435;1;2;
29;J&T;Ship;2;3;3361176;4;low;M;632016;3134;1;26;
30;JNE;Ship;5;4;2628612;2;low;F;517104;3819;1;8;
31;Ninja Express;Ship;3;4;3820824;2;medium;F;545832;2741;1;23;
32;JNE;Ship;5;3;3691548;2;low;F;876204;3341;1;19;
33;SiCepat;Ship;3;1;3203172;3;low;F;316008;3795;1;15;
34;TIKI;Ship;4;2;3361176;3;medium;M;57456;3261;1;22;
